2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Processing discovered business 9
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Business: BITE 'N' SIP CAFE
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | --------------------------------
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Processing discovered business 9
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Business: BITE 'N' SIP CAFE
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:16 | ERROR    | google_maps_extractor | Failed to open business after all retry methods.
2026-07-06 22:44:16 | ERROR    | google_maps_extractor | Failed to process business 'BITE 'N' SIP CAFE'. Continuing with the next business.
Traceback (most recent call last):
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 456, in _process_businesses
    self._open_business(
    ~~~~~~~~~~~~~~~~~~~^
        business_name=business_name,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
        place_href=business_snapshot["place_href"],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\srinivas\Desktop\GoogleMapsApi\app\scraper.py", line 706, in _open_business
    raise SearchError(f"Failed to open business '{business_name}'.")
app.exceptions.SearchError: Failed to open business 'BITE 'N' SIP CAFE'.
2026-07-06 22:44:17 | INFO     | google_maps_extractor | Attempt 1: Normal click
2026-07-06 22:44:17 | INFO     | google_maps_extractor | Results panel restored.
2026-07-06 22:44:17 | INFO     | google_maps_extractor | --------------------------------
